City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
93,Laguna,38.421,-121.4238,71.42,61,1,4.61,US,2021-11-28 19:45:11
94,Pitimbu,-7.4706,-34.8086,84.79,71,71,10.27,BR,2021-11-28 19:43:18
95,Kabo,7.6994,18.629,78.67,25,88,3.47,CF,2021-11-28 19:45:12
96,Atambua,-9.1061,124.8925,74.62,83,100,2.42,ID,2021-11-28 19:45:12
97,Avarua,-21.2078,-159.775,77.05,65,0,4.61,CK,2021-11-28 19:42:15
98,Fort Payne,34.4442,-85.7197,58.91,44,1,5.75,US,2021-11-28 19:45:12
99,Komsomolskiy,40.4272,71.7189,33.22,80,21,4.61,UZ,2021-11-28 19:45:13
100,Katsuura,35.1333,140.3,48.31,55,2,1.41,JP,2021-11-28 19:45:13
101,Cherskiy,68.75,161.3,-9.02,99,100,6.42,RU,2021-11-28 19:45:14
102,Canton,23.1167,113.25,64.35,53,11,7.99,CN,2021-11-28 19:40:56
103,Kruisfontein,-34.0033,24.7314,63.73,76,0,18.41,ZA,2021-11-28 19:45:14
104,Vostok,46.4856,135.8833,16.34,89,95,5.19,RU,2021-11-28 19:45:15
105,Mehran,33.1222,46.1646,67.48,37,10,10.94,IR,2021-11-28 19:45:15
106,Marzuq,14.4,46.4667,64.47,29,0,3.18,YE,2021-11-28 19:45:15
107,Ndjole,-0.1783,10.7649,76.98,92,98,3.76,GA,2021-11-28 19:45:16
108,Ilulissat,69.2167,-51.1,15.82,48,100,2.3,GL,2021-11-28 19:45:16
109,Kirakira,-10.4544,161.9205,81.54,80,96,5.84,SB,2021-11-28 19:45:17
110,Bambous Virieux,-20.3428,57.7575,75.45,83,20,3.44,MU,2021-11-28 19:42:23
111,Hohhot,40.8106,111.6522,26.89,59,20,13.42,CN,2021-11-28 19:45:17
112,Bredasdorp,-34.5322,20.0403,63.72,79,16,7.47,ZA,2021-11-28 19:42:12
113,Lebu,-37.6167,-73.65,56.89,67,6,19.64,CL,2021-11-28 19:45:18
114,Banbury,52.0602,-1.3403,31.64,98,100,6.8,GB,2021-11-28 19:45:18
115,Socorro,31.6546,-106.3033,60.66,30,1,0.0,US,2021-11-28 19:45:19
116,Mutoko,-17.397,32.2268,66.85,50,12,4.63,ZW,2021-11-28 19:45:19
117,Troitskoye,52.9821,84.6757,14.05,91,59,4.7,RU,2021-11-28 19:45:20
118,Dehloran,32.6941,47.2679,68.94,34,40,3.87,IR,2021-11-28 19:45:20
119,Northam,51.0333,-4.2167,40.62,74,99,21.07,GB,2021-11-28 19:45:20
120,Kaitangata,-46.2817,169.8464,53.85,58,100,7.56,NZ,2021-11-28 19:45:21
121,Westport,41.1415,-73.3579,40.98,80,90,6.91,US,2021-11-28 19:45:21
122,Rocha,-34.4833,-54.3333,68.5,91,100,4.18,UY,2021-11-28 19:45:21
123,Edendale,-29.6528,30.3147,65.05,63,4,4.47,ZA,2021-11-28 19:45:22
124,Sinnamary,5.3833,-52.95,82.18,71,22,7.72,GF,2021-11-28 19:43:23
125,Imeni Poliny Osipenko,52.4201,136.4853,13.98,96,100,4.16,RU,2021-11-28 19:45:22
126,Riyadh,24.6877,46.7219,64.54,33,0,7.58,SA,2021-11-28 19:45:12
127,Marawi,7.9986,124.2928,68.23,92,72,2.62,PH,2021-11-28 19:45:23
128,Zhuhai,22.2769,113.5678,69.51,73,0,12.66,CN,2021-11-28 19:45:23
129,Domoni,-12.2569,44.5319,78.71,86,67,5.28,KM,2021-11-28 19:45:24
130,Hilo,19.7297,-155.09,78.53,65,1,6.91,US,2021-11-28 19:45:24
131,Ayan,56.45,138.1667,7.16,69,14,16.84,RU,2021-11-28 19:45:24
132,Bowling Green,36.9903,-86.4436,54.18,40,1,10.36,US,2021-11-28 19:43:32
133,Necochea,-38.5473,-58.7368,65.37,81,100,9.24,AR,2021-11-28 19:45:25
134,Kulhudhuffushi,6.6221,73.07,79.84,81,100,10.83,MV,2021-11-28 19:45:25
135,Ardmore,34.1743,-97.1436,62.38,34,1,9.22,US,2021-11-28 19:44:34
136,Marevo,57.3146,32.0804,31.35,97,100,0.94,RU,2021-11-28 19:46:26
